,File,Commits
537,resources/js/modding-profile/discussions.tsx,28
538,resources/lang/ko/home.php,28
539,resources/lang/lt/home.php,28
540,resources/lang/fr/events.php,28
541,resources/lang/ms-MY/authorization.php,28
542,resources/lang/bg/comments.php,28
543,resources/views/docs/_structures/chat_channel.md,28
544,resources/lang/ro/model_validation.php,28
545,resources/views/docs/_structures/beatmapset.md,28
546,resources/css/bem/beatmap-discussions.less,28
547,app/Http/Controllers/StoreController.php,28
548,resources/js/changelog-build/main.coffee,28
549,resources/lang/pl/legacy_api_key.php,28
550,app/Http/Controllers/Forum/TopicCoversController.php,27
551,app/Models/Chat/Message.php,27
552,resources/js/contest-voting/entry.coffee,27
553,resources/lang/kk-KZ/events.php,27
554,resources/js/stores/notification-stack-store.ts,27
555,resources/lang/fi/beatmapset_events.php,27
556,resources/lang/fi/livestreams.php,27
557,resources/lang/kk-KZ/scores.php,27
558,resources/lang/no/scores.php,27
559,resources/lang/zh/authorization.php,27
560,resources/lang/no/page_title.php,27
561,resources/lang/sv/authorization.php,27
562,resources/lang/ru/rankings.php,27
563,resources/lang/cs/notifications.php,27
564,resources/lang/fil/notifications.php,27
565,resources/lang/ms-MY/accounts.php,27
566,resources/js/core/wiki/reference-link-tooltip.ts,27
567,resources/lang/zh-tw/notifications.php,27
568,phpunit.xml,27
569,resources/js/beatmap-discussions/beatmaps-owner-editor.tsx,27
570,resources/lang/lv-LV/beatmaps.php,27
571,resources/lang/no/password_reset.php,27
572,resources/lang/zh-tw/authorization.php,27
573,resources/lang/pl/authorization.php,27
574,tests/Controllers/UsersControllerTest.php,27
575,resources/lang/ru/beatmap_discussions.php,27
576,resources/js/components/build.coffee,27
577,resources/js/dispatcher.ts,27
578,resources/lang/ca/community.php,27
579,resources/views/store/orders/_details.blade.php,27
580,resources/js/interfaces/user-json.ts,27
581,resources/js/user-multiplayer-index/main.tsx,27
582,resources/js/profile-page/rank-chart.tsx,27
583,webpack.unmix.js,27
584,app/Models/ChangelogEntry.php,27
585,resources/css/bem/osu-page.less,27
586,database/factories/BeatmapsetFactory.php,26
587,app/Console/Commands/UserNotificationsCleanup.php,26
588,app/Http/Controllers/NotificationsController.php,26
589,app/Libraries/CommentBundleParams.php,26
590,app/Models/Build.php,26
591,app/Models/Forum/Forum.php,26
592,app/Models/Forum/TopicCover.php,26
593,resources/lang/bg/scores.php,26
594,resources/lang/ca/events.php,26
595,resources/lang/ca/layout.php,26
596,resources/lang/fi/chat.php,26
597,resources/lang/fr/forum.php,26
598,resources/lang/fr/page_title.php,26
599,resources/lang/hu/page_title.php,26
600,resources/lang/kk-KZ/notifications.php,26
601,resources/lang/pt-br/events.php,26
602,resources/js/chat/create-announcement.tsx,26
603,resources/js/chat/join-channels.tsx,26
604,resources/lang/be/page_title.php,26
605,resources/lang/el/page_title.php,26
606,resources/lang/zh-tw/mail.php,26
607,resources/lang/fa-IR/accounts.php,26
608,resources/lang/id/oauth.php,26
609,resources/lang/it/notifications.php,26
610,resources/lang/no/layout.php,26
611,resources/lang/ru/notifications.php,26
612,resources/lang/id/contest.php,26
613,resources/css/bem/osu-layout.less,26
614,resources/js/modding-profile/events.tsx,26
615,resources/js/models/user.ts,26
616,resources/lang/ar/comments.php,26
617,resources/views/password_reset/index.blade.php,26
618,resources/lang/tr/comments.php,26
619,tests/Libraries/ModsTest.php,26
620,resources/views/artists/show.blade.php,26
621,tests/Controllers/AccountControllerTest.php,26
622,resources/js/chat/ping-service.ts,26
623,resources/js/profile-page/detail.tsx,26
624,resources/lang/be/beatmappacks.php,26
625,resources/lang/be/legacy_api_key.php,26
626,resources/js/core-legacy/forum-auto-click.coffee,26
627,resources/lang/hr-HR/beatmapsets.php,25
628,app/Console/Commands/ModdingRankCommand.php,25
629,app/Http/Controllers/ArtistsController.php,25
630,app/Http/Controllers/Controller.php,25
631,app/Http/Controllers/Passport/AuthorizationController.php,25
632,app/Libraries/Score/FetchDedupedScores.php,25
633,resources/js/components/deleted-comments-count.tsx,25
634,resources/lang/de/home.php,25
635,resources/lang/cs/scores.php,25
636,resources/lang/es/scores.php,25
637,resources/lang/ro/scores.php,25
638,resources/lang/tg-TJ/scores.php,25
639,resources/js/scores/pp-value.tsx,25
640,resources/js/store/store-supporter-tag.tsx,25
641,resources/views/accounts/edit.blade.php,25
642,resources/lang/sv/beatmaps.php,25
643,resources/lang/nl/layout.php,25
644,tests/Libraries/User/CountryChangeTargetTest.php,25
645,resources/lang/be/notifications.php,25
646,resources/lang/pl/notifications.php,25
647,resources/lang/pl/rankings.php,25
648,resources/lang/ro/notifications.php,25
649,resources/lang/th/layout.php,25
650,resources/js/beatmap-discussions/user-filter.tsx,25
651,resources/js/entrypoints/beatmap-discussions-history.tsx,25
652,resources/lang/ar/beatmappacks.php,25
653,resources/lang/ar/legacy_api_key.php,25
